"parcel","variable","mean","std","median","iqr","mean_abs","std_abs","median_abs","iqr_abs","n_subjects"
"LH_ContA_Cingm_1","cortical_surface_area",0.63954,0.12583,0.67287,0.05651,0.63954,0.12583,0.67287,0.05651,43
"LH_ContA_Cingm_1","cortical_thickness",1.85804,0.43905,1.88626,0.3955,1.85804,0.43905,1.88626,0.3955,43
"LH_ContA_Cingm_1","csf_thickness",38.8822,2.10158,39.28997,2.78743,38.8822,2.10158,39.28997,2.78743,43
"LH_ContA_Cingm_1","pial_lgi",1.61876,0.3211,1.69039,0.1613,1.61876,0.3211,1.69039,0.1613,43
"LH_ContA_Cingm_1","skin_thickness",6.64879,1.7169,6.28928,1.90954,6.64879,1.7169,6.28928,1.90954,43
"LH_ContA_Cingm_1","skull_thickness",8.30346,1.51754,7.95962,2.08134,8.30346,1.51754,7.95962,2.08134,43
"LH_ContA_Cingm_1","sulcal_depth",0.10355,0.66392,0.18261,1.00348,0.56369,0.3556,0.50257,0.45839,43
"LH_ContA_IPS_1","cortical_surface_area",0.74721,0.02839,0.74274,0.03775,0.74721,0.02839,0.74274,0.03775,43
"LH_ContA_IPS_1","cortical_thickness",2.52078,0.15453,2.52846,0.17623,2.52078,0.15453,2.52846,0.17623,43
"LH_ContA_IPS_1","csf_thickness",10.71261,1.66527,10.69677,1.97222,10.71261,1.66527,10.69677,1.97222,43
"LH_ContA_IPS_1","pial_lgi",2.95036,0.14063,2.93425,0.22329,2.95036,0.14063,2.93425,0.22329,43
"LH_ContA_IPS_1","skin_thickness",7.09379,1.30202,6.76881,1.65677,7.09379,1.30202,6.76881,1.65677,43
"LH_ContA_IPS_1","skull_thickness",7.53261,2.00183,6.98877,2.48807,7.53261,2.00183,6.98877,2.48807,43
"LH_ContA_IPS_1","sulcal_depth",0.81299,1.10556,0.75556,1.23403,1.08383,0.83445,0.772,1.12161,43
"LH_ContA_IPS_2","cortical_surface_area",0.75127,0.02634,0.74871,0.03008,0.75127,0.02634,0.74871,0.03008,43
"LH_ContA_IPS_2","cortical_thickness",2.47498,0.16118,2.46572,0.17509,2.47498,0.16118,2.46572,0.17509,43
"LH_ContA_IPS_2","csf_thickness",15.75096,3.20541,15.52913,5.07022,15.75096,3.20541,15.52913,5.07022,43
"LH_ContA_IPS_2","pial_lgi",2.94027,0.13967,2.94734,0.23344,2.94027,0.13967,2.94734,0.23344,43
"LH_ContA_IPS_2","skin_thickness",7.57264,1.52923,7.44166,1.96326,7.57264,1.52923,7.44166,1.96326,43
"LH_ContA_IPS_2","skull_thickness",7.98187,2.19433,7.4007,2.6536,7.98187,2.19433,7.4007,2.6536,43
"LH_ContA_IPS_2","sulcal_depth",5.7922,2.5102,6.12777,3.72321,5.91199,2.20585,6.12777,3.72321,43
"LH_ContA_IPS_3","cortical_surface_area",0.72193,0.02835,0.71979,0.03959,0.72193,0.02835,0.71979,0.03959,43
"LH_ContA_IPS_3","cortical_thickness",2.57184,0.16352,2.57471,0.22945,2.57184,0.16352,2.57471,0.22945,43
"LH_ContA_IPS_3","csf_thickness",7.31028,1.98069,7.22103,2.96293,7.31028,1.98069,7.22103,2.96293,43
"LH_ContA_IPS_3","pial_lgi",3.1921,0.16439,3.21442,0.21991,3.1921,0.16439,3.21442,0.21991,43
"LH_ContA_IPS_3","skin_thickness",7.36296,1.55879,7.10644,1.83798,7.36296,1.55879,7.10644,1.83798,43
"LH_ContA_IPS_3","skull_thickness",7.151,1.73466,6.99094,2.33376,7.151,1.73466,6.99094,2.33376,43
"LH_ContA_IPS_3","sulcal_depth",-3.07073,2.03932,-3.77975,2.58907,3.30681,1.61783,3.85052,2.27179,43
"LH_ContA_IPS_4","cortical_surface_area",0.73301,0.0233,0.73121,0.03006,0.73301,0.0233,0.73121,0.03006,43
"LH_ContA_IPS_4","cortical_thickness",2.4669,0.17482,2.43671,0.20395,2.4669,0.17482,2.43671,0.20395,43
"LH_ContA_IPS_4","csf_thickness",12.25023,2.58744,11.57598,4.57428,12.25023,2.58744,11.57598,4.57428,43
"LH_ContA_IPS_4","pial_lgi",3.06569,0.14438,3.08014,0.20091,3.06569,0.14438,3.08014,0.20091,43
"LH_ContA_IPS_4","skin_thickness",7.96975,1.5524,7.47756,2.01423,7.96975,1.5524,7.47756,2.01423,43
"LH_ContA_IPS_4","skull_thickness",8.00836,2.1438,7.39439,2.38171,8.00836,2.1438,7.39439,2.38171,43
"LH_ContA_IPS_4","sulcal_depth",1.78952,1.68986,1.69889,1.95506,2.00279,1.42394,1.69889,1.74711,43
"LH_ContA_IPS_5","cortical_surface_area",0.74198,0.02903,0.74133,0.03126,0.74198,0.02903,0.74133,0.03126,43
"LH_ContA_IPS_5","cortical_thickness",2.46559,0.17946,2.44532,0.20394,2.46559,0.17946,2.44532,0.20394,43
"LH_ContA_IPS_5","csf_thickness",12.91198,3.4987,12.98052,5.2392,12.91198,3.4987,12.98052,5.2392,43
"LH_ContA_IPS_5","pial_lgi",3.16589,0.17501,3.15842,0.2071,3.16589,0.17501,3.15842,0.2071,43
"LH_ContA_IPS_5","skin_thickness",7.65445,1.36882,7.33733,1.36587,7.65445,1.36882,7.33733,1.36587,43
"LH_ContA_IPS_5","skull_thickness",7.67525,1.89671,7.55903,2.01348,7.67525,1.89671,7.55903,2.01348,43
"LH_ContA_IPS_5","sulcal_depth",2.33239,3.0242,2.7885,4.27088,3.22741,2.01275,3.0185,3.1438,43
"LH_ContA_IPS_6","cortical_surface_area",0.75561,0.01895,0.75547,0.02171,0.75561,0.01895,0.75547,0.02171,43
"LH_ContA_IPS_6","cortical_thickness",2.39144,0.16681,2.37576,0.24858,2.39144,0.16681,2.37576,0.24858,43
"LH_ContA_IPS_6","csf_thickness",19.50664,2.82737,19.73574,3.72323,19.50664,2.82737,19.73574,3.72323,43
"LH_ContA_IPS_6","pial_lgi",3.12795,0.16845,3.12976,0.20369,3.12795,0.16845,3.12976,0.20369,43
"LH_ContA_IPS_6","skin_thickness",8.17787,1.37795,7.70752,1.89218,8.17787,1.37795,7.70752,1.89218,43
"LH_ContA_IPS_6","skull_thickness",8.34661,1.98979,7.8818,2.42937,8.34661,1.98979,7.8818,2.42937,43
"LH_ContA_IPS_6","sulcal_depth",8.67995,2.1572,9.20863,1.75627,8.67995,2.1572,9.20863,1.75627,43
"LH_ContA_IPS_7","cortical_surface_area",0.74501,0.02367,0.74524,0.02515,0.74501,0.02367,0.74524,0.02515,43
"LH_ContA_IPS_7","cortical_thickness",2.39889,0.15227,2.3991,0.20781,2.39889,0.15227,2.3991,0.20781,43
"LH_ContA_IPS_7","csf_thickness",16.64544,4.30737,16.93613,6.90271,16.64544,4.30737,16.93613,6.90271,43
"LH_ContA_IPS_7","pial_lgi",3.1598,0.16457,3.15179,0.24739,3.1598,0.16457,3.15179,0.24739,43
"LH_ContA_IPS_7","skin_thickness",7.7755,1.49822,7.5107,1.66493,7.7755,1.49822,7.5107,1.66493,43
"LH_ContA_IPS_7","skull_thickness",7.89245,1.86117,7.24733,2.12444,7.89245,1.86117,7.24733,2.12444,43
"LH_ContA_IPS_7","sulcal_depth",5.46751,3.25188,6.16823,5.1057,5.52206,3.1561,6.16823,5.1057,43
"LH_ContA_IPS_8","cortical_surface_area",0.74215,0.02803,0.73933,0.03697,0.74215,0.02803,0.73933,0.03697,43
"LH_ContA_IPS_8","cortical_thickness",2.37152,0.16964,2.34684,0.24076,2.37152,0.16964,2.34684,0.24076,43
"LH_ContA_IPS_8","csf_thickness",14.00276,3.939,12.99179,5.18456,14.00276,3.939,12.99179,5.18456,43
"LH_ContA_IPS_8","pial_lgi",3.00278,0.14932,3.04832,0.1945,3.00278,0.14932,3.04832,0.1945,43
"LH_ContA_IPS_8","skin_thickness",8.36134,1.55553,8.1033,2.02447,8.36134,1.55553,8.1033,2.02447,43
"LH_ContA_IPS_8","skull_thickness",8.54233,2.28358,7.82746,2.53932,8.54233,2.28358,7.82746,2.53932,43
"LH_ContA_IPS_8","sulcal_depth",3.91761,3.19637,3.01531,5.24555,4.04473,3.02993,3.01531,5.24555,43
"LH_ContA_PFCd_1","cortical_surface_area",0.70458,0.02918,0.70155,0.02645,0.70458,0.02918,0.70155,0.02645,43
"LH_ContA_PFCd_1","cortical_thickness",2.77156,0.1637,2.77416,0.23929,2.77156,0.1637,2.77416,0.23929,43
"LH_ContA_PFCd_1","csf_thickness",10.16675,1.9955,10.62669,2.86606,10.16675,1.9955,10.62669,2.86606,43
"LH_ContA_PFCd_1","pial_lgi",2.75262,0.14886,2.74212,0.15941,2.75262,0.14886,2.74212,0.15941,43
"LH_ContA_PFCd_1","skin_thickness",6.81614,1.25231,6.47423,1.52869,6.81614,1.25231,6.47423,1.52869,43
"LH_ContA_PFCd_1","skull_thickness",6.99943,1.75364,6.68886,1.6201,6.99943,1.75364,6.68886,1.6201,43
"LH_ContA_PFCd_1","sulcal_depth",-0.04529,0.88895,-0.09402,0.77541,0.64632,0.60387,0.42659,0.99429,43
"LH_ContA_PFCd_2","cortical_surface_area",0.74916,0.02639,0.75017,0.0303,0.74916,0.02639,0.75017,0.0303,43
"LH_ContA_PFCd_2","cortical_thickness",2.6156,0.16104,2.5827,0.22903,2.6156,0.16104,2.5827,0.22903,43
"LH_ContA_PFCd_2","csf_thickness",13.46367,2.88086,13.65601,4.02408,13.46367,2.88086,13.65601,4.02408,43
"LH_ContA_PFCd_2","pial_lgi",2.49381,0.14415,2.47795,0.21104,2.49381,0.14415,2.47795,0.21104,43
"LH_ContA_PFCd_2","skin_thickness",6.88147,1.31013,6.50971,1.65723,6.88147,1.31013,6.50971,1.65723,43
"LH_ContA_PFCd_2","skull_thickness",7.29068,1.70114,6.89263,2.09316,7.29068,1.70114,6.89263,2.09316,43
"LH_ContA_PFCd_2","sulcal_depth",4.29138,1.96756,4.91957,2.82926,4.29604,1.95711,4.91957,2.82926,43
"LH_ContA_PFCl_1","cortical_surface_area",0.74831,0.02041,0.75029,0.02433,0.74831,0.02041,0.75029,0.02433,43
"LH_ContA_PFCl_1","cortical_thickness",2.48651,0.14906,2.51043,0.21434,2.48651,0.14906,2.51043,0.21434,43
"LH_ContA_PFCl_1","csf_thickness",11.03416,1.98377,10.81377,2.52412,11.03416,1.98377,10.81377,2.52412,43
"LH_ContA_PFCl_1","pial_lgi",3.49347,0.28931,3.46523,0.34753,3.49347,0.28931,3.46523,0.34753,43
"LH_ContA_PFCl_1","skin_thickness",6.35645,1.17896,6.19709,1.30388,6.35645,1.17896,6.19709,1.30388,43
"LH_ContA_PFCl_1","skull_thickness",6.1815,1.43852,5.70526,1.69628,6.1815,1.43852,5.70526,1.69628,43
"LH_ContA_PFCl_1","sulcal_depth",1.69099,1.4755,1.87733,1.70866,1.94845,1.10353,1.87733,1.43822,43
"LH_ContA_PFCl_2","cortical_surface_area",0.72407,0.02546,0.72385,0.04467,0.72407,0.02546,0.72385,0.04467,43
"LH_ContA_PFCl_2","cortical_thickness",2.5197,0.19888,2.49661,0.21465,2.5197,0.19888,2.49661,0.21465,43
"LH_ContA_PFCl_2","csf_thickness",6.30242,1.55011,6.09751,1.8604,6.30242,1.55011,6.09751,1.8604,43
"LH_ContA_PFCl_2","pial_lgi",3.00145,0.20567,2.9817,0.28087,3.00145,0.20567,2.9817,0.28087,43
"LH_ContA_PFCl_2","skin_thickness",5.53956,0.94272,5.5362,0.87166,5.53956,0.94272,5.5362,0.87166,43
"LH_ContA_PFCl_2","skull_thickness",7.52168,1.40673,7.55572,1.99236,7.52168,1.40673,7.55572,1.99236,43
"LH_ContA_PFCl_2","sulcal_depth",-0.94026,1.34958,-1.36478,1.85469,1.38744,0.8693,1.43543,1.4688,43
"LH_ContA_PFCl_3","cortical_surface_area",0.71091,0.02557,0.71339,0.03678,0.71091,0.02557,0.71339,0.03678,43
"LH_ContA_PFCl_3","cortical_thickness",2.74896,0.15856,2.77443,0.21067,2.74896,0.15856,2.77443,0.21067,43
"LH_ContA_PFCl_3","csf_thickness",8.61196,1.14325,8.69114,1.41895,8.61196,1.14325,8.69114,1.41895,43
"LH_ContA_PFCl_3","pial_lgi",3.83505,0.26287,3.84795,0.33278,3.83505,0.26287,3.84795,0.33278,43
"LH_ContA_PFCl_3","skin_thickness",7.66727,1.54585,7.11847,2.30786,7.66727,1.54585,7.11847,2.30786,43
"LH_ContA_PFCl_3","skull_thickness",4.85046,1.338,4.56593,1.22063,4.85046,1.338,4.56593,1.22063,43
"LH_ContA_PFCl_3","sulcal_depth",-0.56099,0.64069,-0.59947,0.85483,0.64235,0.557,0.59947,0.61066,43
"LH_ContA_PFCl_4","cortical_surface_area",0.76376,0.01945,0.76571,0.03018,0.76376,0.01945,0.76571,0.03018,43
"LH_ContA_PFCl_4","cortical_thickness",2.57358,0.13772,2.58741,0.18512,2.57358,0.13772,2.58741,0.18512,43
"LH_ContA_PFCl_4","csf_thickness",17.72511,2.08034,18.04831,2.63602,17.72511,2.08034,18.04831,2.63602,43
"LH_ContA_PFCl_4","pial_lgi",3.56901,0.26485,3.53798,0.33606,3.56901,0.26485,3.53798,0.33606,43
"LH_ContA_PFCl_4","skin_thickness",6.5901,1.36877,6.24956,1.88536,6.5901,1.36877,6.24956,1.88536,43
"LH_ContA_PFCl_4","skull_thickness",5.7986,1.56008,5.66199,1.84471,5.7986,1.56008,5.66199,1.84471,43
"LH_ContA_PFCl_4","sulcal_depth",7.89089,1.37814,8.26239,1.52836,7.89089,1.37814,8.26239,1.52836,43
"LH_ContA_PFCl_5","cortical_surface_area",0.72876,0.02482,0.72709,0.03044,0.72876,0.02482,0.72709,0.03044,43
"LH_ContA_PFCl_5","cortical_thickness",2.63637,0.1423,2.61982,0.1982,2.63637,0.1423,2.61982,0.1982,43
"LH_ContA_PFCl_5","csf_thickness",11.02318,1.25214,11.11045,1.83317,11.02318,1.25214,11.11045,1.83317,43
"LH_ContA_PFCl_5","pial_lgi",3.38629,0.19611,3.35973,0.25416,3.38629,0.19611,3.35973,0.25416,43
"LH_ContA_PFCl_5","skin_thickness",6.3845,1.48747,6.09548,1.83288,6.3845,1.48747,6.09548,1.83288,43
"LH_ContA_PFCl_5","skull_thickness",6.09534,1.41562,5.74446,1.78899,6.09534,1.41562,5.74446,1.78899,43
"LH_ContA_PFCl_5","sulcal_depth",2.30867,0.79269,2.27558,0.8161,2.30867,0.79269,2.27558,0.8161,43
"LH_ContA_PFClv_1","cortical_surface_area",0.73966,0.02308,0.7367,0.03505,0.73966,0.02308,0.7367,0.03505,43
"LH_ContA_PFClv_1","cortical_thickness",2.42994,0.14122,2.43369,0.19536,2.42994,0.14122,2.43369,0.19536,43
"LH_ContA_PFClv_1","csf_thickness",8.21182,1.52256,7.84261,1.72031,8.21182,1.52256,7.84261,1.72031,43
"LH_ContA_PFClv_1","pial_lgi",3.18486,0.22859,3.13125,0.36097,3.18486,0.22859,3.13125,0.36097,43
"LH_ContA_PFClv_1","skin_thickness",6.43179,1.41556,6.0317,1.356,6.43179,1.41556,6.0317,1.356,43
"LH_ContA_PFClv_1","skull_thickness",6.00948,1.00394,5.94148,1.46707,6.00948,1.00394,5.94148,1.46707,43
"LH_ContA_PFClv_1","sulcal_depth",0.78903,1.10591,0.5543,1.32934,0.98073,0.93578,0.62639,1.23526,43
"LH_ContA_Temp_1","cortical_surface_area",0.72374,0.02055,0.72682,0.02416,0.72374,0.02055,0.72682,0.02416,43
"LH_ContA_Temp_1","cortical_thickness",2.9671,0.19388,2.9493,0.23937,2.9671,0.19388,2.9493,0.23937,43
"LH_ContA_Temp_1","csf_thickness",4.79238,1.29029,4.64,1.59783,4.79238,1.29029,4.64,1.59783,43
"LH_ContA_Temp_1","pial_lgi",2.9274,0.14498,2.91468,0.19402,2.9274,0.14498,2.91468,0.19402,43
"LH_ContA_Temp_1","skin_thickness",8.74193,1.14215,8.65952,1.11711,8.74193,1.14215,8.65952,1.11711,43
"LH_ContA_Temp_1","skull_thickness",5.58812,0.86886,5.45134,1.16794,5.58812,0.86886,5.45134,1.16794,43
"LH_ContA_Temp_1","sulcal_depth",-2.05883,1.49965,-2.49684,2.34412,2.21972,1.24265,2.49684,2.19972,43
"LH_ContB_IPL_1","cortical_surface_area",0.73136,0.03033,0.735,0.02698,0.73136,0.03033,0.735,0.02698,43
"LH_ContB_IPL_1","cortical_thickness",2.66664,0.17474,2.69197,0.19164,2.66664,0.17474,2.69197,0.19164,43
"LH_ContB_IPL_1","csf_thickness",5.92122,1.87194,5.64094,2.23873,5.92122,1.87194,5.64094,2.23873,43
"LH_ContB_IPL_1","pial_lgi",3.18549,0.16691,3.19236,0.25622,3.18549,0.16691,3.19236,0.25622,43
