"parcel","PC1","PC2","PC3"
"LH_SomMotA_8",-2.18721538559017,-0.916966415369871,-0.496346843324618
"LH_DorsAttnA_SPL_8",-1.29695996973454,-0.0205123874359319,0.0175166923555695
"LH_SomMotA_4",2.77410338054984,1.51333236626165,0.482607630928686
"LH_DefaultB_PFCd_2",-4.93869543333622,0.331909980140836,0.670909044670309
"LH_SomMotB_S2_4",2.60781586673941,-0.410299050553418,-0.371936611557424
"LH_ContA_IPS_3",-2.79321427698841,-1.11823714795351,0.859487902199083
"LH_VisCent_ExStr_11",1.12882129315176,-1.01859749429714,-1.27336461496053
"LH_VisPeri_ExStrInf_5",1.93157239253251,-0.313508331332248,-0.33752901935388
"LH_SalVentAttnB_Ins_1",1.56131497833734,0.941628501969843,-0.513419918823457
"LH_TempPar_3",-1.339640757465,1.08356652700471,-0.438313864681885
"LH_DefaultC_PHC_1",1.46312814643917,-0.00417861748443654,-0.42612779703481
"LH_SomMotB_Cent_6",-5.92705725422831,-1.23746117815289,-1.65395454096425
"LH_ContA_PFCl_1",-0.665158577860394,0.33002073524423,-0.302186079854388
"LH_ContB_PFCd_1",-3.79402712750224,-0.574165984180755,2.35652749334789
"LH_SomMotA_5",1.25356814692868,-0.0208790470312711,-0.363738440018643
"LH_DorsAttnB_PostC_1",-0.648227551524133,-0.208628326512959,-1.23071584504411
"LH_SomMotA_19",-4.08511187578209,0.626557534636217,0.32794928406323
"LH_ContA_IPS_6",1.29138594379158,-1.07624731412134,0.00928521490198352
"LH_SalVentAttnA_FrMed_5",1.31635396011811,-0.512852040332064,0.100951411851552
"LH_SalVentAttnA_ParMed_5",2.64600853644351,-0.372158480686497,0.0404385461683842
"LH_DefaultB_PFCd_4",0.396480558999013,1.74846268451623,-0.546602232141243
"LH_DefaultA_PFCm_4",-0.164360736546594,-0.284230489810336,-1.05953029563969
"LH_SalVentAttnB_PFCmp_2",-2.99371052493692,1.54890936620498,0.480013361671908
"LH_ContB_PFClv_3",-0.291279813687519,0.43295883695776,-0.243084792291932
"LH_LimbicB_OFC_1",2.38114194094915,1.74645167510958,-0.814090618494121
"LH_SalVentAttnA_Ins_4",2.00349253921127,0.0385249875320659,0.346735676834287
"LH_SomMotB_S2_2",3.42876876734136,0.547827726019518,-0.196648611153658
"LH_SomMotB_Aud_1",1.72342504178414,-0.502153978656706,0.0236783100788858
"LH_TempPar_10",-2.65623513138524,-1.10263007834978,0.479943872024058
"LH_DefaultA_IPL_2",-2.87560744171978,-1.27062329404975,0.720820158618082
"LH_DorsAttnB_TempOcc_1",-0.989453973068598,-0.00824282363280521,0.172927674653748
"LH_VisCent_ExStr_13",0.501442125319792,-1.4578561103674,-0.778935989284819
"LH_ContC_pCun_1",1.80116907429663,-0.114339038764653,0.257678664224448
"LH_VisPeri_StriCal_3",1.14454136435211,-0.9475531651955,0.701770292409169
"LH_DefaultA_pCunPCC_5",3.64056282419239,0.0250439298010009,0.846178471175439
"LH_LimbicA_TempPole_5",4.1586663139107,-0.989602108364166,0.235313809128169
"LH_DefaultB_Temp_3",0.949767544179589,0.5385904568925,-0.626991866926692
"LH_VisCent_ExStr_1",3.38031268333284,0.371041288705562,-0.131777192280071
"LH_VisPeri_ExStrInf_2",3.47696680024875,-0.0378197796498042,-0.289872331431606
"LH_SomMotA_3",-7.72169465461993,-1.8022712456741,1.42574022775647
"LH_DefaultB_PFCl_2",-0.538022153402955,-1.24035079432716,-0.0647576829833484
"LH_DorsAttnB_FEF_2",-0.302130547543346,0.356366505921044,-0.46749983202573
"LH_SomMotA_6",0.115434014017458,0.139483180431048,-0.860165277277622
"LH_SomMotB_Cent_5",-4.56431942266589,0.810313268849834,-0.629318024443596
"LH_SomMotA_16",-6.63883043307343,-0.43117610621583,-0.061730398819431
"LH_SomMotA_13",-2.03741237148402,-2.17061903713052,1.24215985317294
"LH_SomMotA_22",-2.03424682350103,-1.51063610853186,-0.734626489524455
"LH_DorsAttnB_FEF_3",-4.66808168272898,0.748648500742809,-0.803331646548057
"LH_DefaultA_PFCm_5",1.6804451644231,-0.394797704999018,-0.769988038721491
"LH_DefaultB_PFCd_1",1.73951703120464,1.79159962654504,-0.600353992937845
"LH_DefaultB_PFCd_3",2.10056737479725,-0.304920937470307,0.0526921803078397
"LH_ContB_PFClv_4",-2.07257886237819,-1.81962208192898,0.77742353580822
"LH_LimbicB_OFC_6",1.54473970159024,-1.89268688041851,-0.319146781542739
"LH_ContA_PFCl_2",-0.899172078405372,1.61032666036566,-1.49170800819961
"LH_ContA_PFClv_1",-1.82159635194365,1.10169885949263,-0.54627017114422
"LH_SomMotB_S2_3",-0.0648465323750752,-0.121027341144607,-0.432546909541385
"LH_SomMotB_S2_1",2.30287067706414,0.103208065806196,-0.269810125967533
"LH_SalVentAttnB_Ins_3",1.03288979753314,-0.419356822423397,-0.550406052452287
"LH_SomMotB_S2_6",-0.621628875446896,0.0525680754582332,-0.752179709352232
"LH_SomMotB_S2_5",1.61548240330872,-0.309771617997164,0.00558762915832659
"LH_DefaultA_IPL_4",1.33697250368442,-0.515875928000496,0.238591387229511
"LH_DefaultB_IPL_1",0.503302243334127,-1.17848101144642,0.839730306570246
"LH_DefaultB_IPL_2",0.305466041403854,-0.849495175538668,-0.29361536377303
"LH_DefaultA_IPL_3",0.179094834006252,-1.14607674074772,0.616680926718616
"LH_ContC_pCun_3",-0.163133577280625,0.291250924138864,0.795782676196034
"LH_VisPeri_ExStrSup_4",0.0555674002627802,-0.187051081733174,0.234454983486704
