"parcel","variable","mean","std","median","iqr","mean_abs","std_abs","median_abs","iqr_abs","n_subjects"
"LH_ContA_Cingm_1","cortical_surface_area",0.65158,0.05519,0.67093,0.04107,0.65158,0.05519,0.67093,0.04107,28
"LH_ContA_Cingm_1","cortical_thickness",1.54905,0.22878,1.51399,0.3193,1.54905,0.22878,1.51399,0.3193,28
"LH_ContA_Cingm_1","csf_thickness",39.24712,2.04218,38.9681,3.15265,39.24712,2.04218,38.9681,3.15265,28
"LH_ContA_Cingm_1","pial_lgi",1.73581,0.20557,1.77379,0.15236,1.73581,0.20557,1.77379,0.15236,28
"LH_ContA_Cingm_1","skin_thickness",6.20364,1.81167,5.89664,1.42036,6.20364,1.81167,5.89664,1.42036,28
"LH_ContA_Cingm_1","skull_thickness",9.02292,1.29618,8.87811,1.60888,9.02292,1.29618,8.87811,1.60888,28
"LH_ContA_Cingm_1","sulcal_depth",0.00933,0.75781,-0.02983,0.6032,0.52643,0.53569,0.30762,0.58985,28
"LH_ContA_IPS_1","cortical_surface_area",0.75688,0.02605,0.75194,0.02607,0.75688,0.02605,0.75194,0.02607,28
"LH_ContA_IPS_1","cortical_thickness",2.38804,0.15609,2.40915,0.23215,2.38804,0.15609,2.40915,0.23215,28
"LH_ContA_IPS_1","csf_thickness",10.55062,1.80881,10.67806,1.96614,10.55062,1.80881,10.67806,1.96614,28
"LH_ContA_IPS_1","pial_lgi",2.9028,0.16431,2.88851,0.21102,2.9028,0.16431,2.88851,0.21102,28
"LH_ContA_IPS_1","skin_thickness",7.48263,1.51098,7.27074,1.30815,7.48263,1.51098,7.27074,1.30815,28
"LH_ContA_IPS_1","skull_thickness",6.91762,0.86672,6.91052,1.23348,6.91762,0.86672,6.91052,1.23348,28
"LH_ContA_IPS_1","sulcal_depth",0.60541,1.19031,0.60732,1.20416,1.01719,0.85084,0.84157,0.87457,28
"LH_ContA_IPS_2","cortical_surface_area",0.74901,0.02523,0.748,0.03329,0.74901,0.02523,0.748,0.03329,28
"LH_ContA_IPS_2","cortical_thickness",2.32772,0.16777,2.32183,0.26452,2.32772,0.16777,2.32183,0.26452,28
