"parcel","variable","mean","std","median","iqr","mean_abs","std_abs","median_abs","iqr_abs","n_subjects"
"LH_ContA_Cingm_1","cortical_surface_area",0.65045,0.07137,0.66107,0.08169,0.65045,0.07137,0.66107,0.08169,25
"LH_ContA_Cingm_1","cortical_thickness",1.71879,0.27133,1.74918,0.30216,1.71879,0.27133,1.74918,0.30216,25
"LH_ContA_Cingm_1","csf_thickness",38.63062,2.85006,38.55449,3.4718,38.63062,2.85006,38.55449,3.4718,25
"LH_ContA_Cingm_1","pial_lgi",1.66557,0.16285,1.71743,0.18756,1.66557,0.16285,1.71743,0.18756,25
"LH_ContA_Cingm_1","skin_thickness",6.87532,1.91203,6.55608,2.82286,6.87532,1.91203,6.55608,2.82286,25
"LH_ContA_Cingm_1","skull_thickness",8.77979,1.42484,8.87273,1.75278,8.77979,1.42484,8.87273,1.75278,25
"LH_ContA_Cingm_1","sulcal_depth",-0.20719,0.48677,-0.16755,0.48563,0.4073,0.32992,0.38627,0.36061,25
"LH_ContA_IPS_1","cortical_surface_area",0.76022,0.04613,0.75123,0.02962,0.76022,0.04613,0.75123,0.02962,25
"LH_ContA_IPS_1","cortical_thickness",2.32982,0.21621,2.28724,0.29385,2.32982,0.21621,2.28724,0.29385,25
"LH_ContA_IPS_1","csf_thickness",11.50372,1.64107,11.5129,1.89535,11.50372,1.64107,11.5129,1.89535,25
"LH_ContA_IPS_1","pial_lgi",2.89514,0.13041,2.89065,0.11712,2.89514,0.13041,2.89065,0.11712,25
"LH_ContA_IPS_1","skin_thickness",6.76757,0.88016,6.65214,1.19183,6.76757,0.88016,6.65214,1.19183,25
"LH_ContA_IPS_1","skull_thickness",6.85162,0.91435,6.93249,1.15791,6.85162,0.91435,6.93249,1.15791,25
"LH_ContA_IPS_1","sulcal_depth",1.36617,1.28353,1.28572,1.09298,1.48776,1.13401,1.43189,0.98308,25
"LH_ContA_IPS_2","cortical_surface_area",0.75911,0.03079,0.7502,0.02776,0.75911,0.03079,0.7502,0.02776,25
"LH_ContA_IPS_2","cortical_thickness",2.24758,0.16729,2.21494,0.1435,2.24758,0.16729,2.21494,0.1435,25
"LH_ContA_IPS_2","csf_thickness",16.81929,2.74076,17.05795,2.88266,16.81929,2.74076,17.05795,2.88266,25
"LH_ContA_IPS_2","pial_lgi",2.86774,0.11982,2.86427,0.15381,2.86774,0.11982,2.86427,0.15381,25
"LH_ContA_IPS_2","skin_thickness",7.25158,1.12165,7.09423,1.45778,7.25158,1.12165,7.09423,1.45778,25
"LH_ContA_IPS_2","skull_thickness",7.20716,0.9813,7.44778,1.33431,7.20716,0.9813,7.44778,1.33431,25
"LH_ContA_IPS_2","sulcal_depth",6.50286,2.20257,6.01751,2.37564,6.50286,2.20257,6.01751,2.37564,25
"LH_ContA_IPS_3","cortical_surface_area",0.72313,0.02996,0.72615,0.04193,0.72313,0.02996,0.72615,0.04193,25
"LH_ContA_IPS_3","cortical_thickness",2.4052,0.20642,2.38841,0.30012,2.4052,0.20642,2.38841,0.30012,25
"LH_ContA_IPS_3","csf_thickness",8.17895,2.55621,8.41246,3.73962,8.17895,2.55621,8.41246,3.73962,25
"LH_ContA_IPS_3","pial_lgi",3.03395,0.13659,3.06963,0.21588,3.03395,0.13659,3.06963,0.21588,25
"LH_ContA_IPS_3","skin_thickness",7.13828,1.44391,6.81454,1.65555,7.13828,1.44391,6.81454,1.65555,25
"LH_ContA_IPS_3","skull_thickness",6.57675,1.11712,6.80728,1.3657,6.57675,1.11712,6.80728,1.3657,25
"LH_ContA_IPS_3","sulcal_depth",-2.61076,1.40902,-2.67527,2.56943,2.61076,1.40902,2.67527,2.56943,25
"LH_ContA_IPS_4","cortical_surface_area",0.74724,0.02142,0.74557,0.0282,0.74724,0.02142,0.74557,0.0282,25
"LH_ContA_IPS_4","cortical_thickness",2.24792,0.17954,2.22667,0.2137,2.24792,0.17954,2.22667,0.2137,25
"LH_ContA_IPS_4","csf_thickness",13.24048,2.73358,14.06925,3.79406,13.24048,2.73358,14.06925,3.79406,25
"LH_ContA_IPS_4","pial_lgi",2.95819,0.11756,2.99106,0.14959,2.95819,0.11756,2.99106,0.14959,25
"LH_ContA_IPS_4","skin_thickness",7.2289,1.26274,6.87251,1.78902,7.2289,1.26274,6.87251,1.78902,25
"LH_ContA_IPS_4","skull_thickness",7.17661,1.06737,7.17041,1.64737,7.17661,1.06737,7.17041,1.64737,25
"LH_ContA_IPS_4","sulcal_depth",2.17807,2.15957,2.01268,2.86162,2.43918,1.84606,2.13273,2.84411,25
"LH_ContA_IPS_5","cortical_surface_area",0.75005,0.02799,0.74626,0.0325,0.75005,0.02799,0.74626,0.0325,25
"LH_ContA_IPS_5","cortical_thickness",2.26012,0.22089,2.31869,0.28159,2.26012,0.22089,2.31869,0.28159,25
"LH_ContA_IPS_5","csf_thickness",12.95615,3.25158,13.37305,3.22888,12.95615,3.25158,13.37305,3.22888,25
"LH_ContA_IPS_5","pial_lgi",3.02322,0.13309,3.05671,0.20013,3.02322,0.13309,3.05671,0.20013,25
"LH_ContA_IPS_5","skin_thickness",7.37753,1.40965,7.01772,1.57636,7.37753,1.40965,7.01772,1.57636,25
"LH_ContA_IPS_5","skull_thickness",6.85837,1.15772,6.93506,1.48805,6.85837,1.15772,6.93506,1.48805,25
"LH_ContA_IPS_5","sulcal_depth",1.96583,2.34167,2.21513,3.80959,2.58098,1.60308,2.87936,2.13511,25
"LH_ContA_IPS_6","cortical_surface_area",0.76698,0.02702,0.76605,0.03077,0.76698,0.02702,0.76605,0.03077,25
"LH_ContA_IPS_6","cortical_thickness",2.14207,0.19844,2.10227,0.20402,2.14207,0.19844,2.10227,0.20402,25
"LH_ContA_IPS_6","csf_thickness",19.55675,2.8681,19.54833,3.3426,19.55675,2.8681,19.54833,3.3426,25
"LH_ContA_IPS_6","pial_lgi",2.99506,0.13866,3.0093,0.16254,2.99506,0.13866,3.0093,0.16254,25
"LH_ContA_IPS_6","skin_thickness",7.54301,1.42747,7.13799,2.04417,7.54301,1.42747,7.13799,2.04417,25
"LH_ContA_IPS_6","skull_thickness",7.34601,1.28755,7.63555,2.14267,7.34601,1.28755,7.63555,2.14267,25
"LH_ContA_IPS_6","sulcal_depth",8.27996,1.78885,8.92925,2.0148,8.27996,1.78885,8.92925,2.0148,25
"LH_ContA_IPS_7","cortical_surface_area",0.74921,0.02208,0.74642,0.03794,0.74921,0.02208,0.74642,0.03794,25
"LH_ContA_IPS_7","cortical_thickness",2.21713,0.17966,2.27728,0.28569,2.21713,0.17966,2.27728,0.28569,25
"LH_ContA_IPS_7","csf_thickness",16.90782,4.57957,17.81882,7.5233,16.90782,4.57957,17.81882,7.5233,25
"LH_ContA_IPS_7","pial_lgi",3.01176,0.14119,3.03941,0.21623,3.01176,0.14119,3.03941,0.21623,25
"LH_ContA_IPS_7","skin_thickness",7.55236,1.47722,6.97468,1.82015,7.55236,1.47722,6.97468,1.82015,25
"LH_ContA_IPS_7","skull_thickness",7.27623,1.23237,7.32294,1.98448,7.27623,1.23237,7.32294,1.98448,25
"LH_ContA_IPS_7","sulcal_depth",5.13284,3.42903,5.26145,5.83688,5.17136,3.36822,5.26145,5.83688,25
"LH_ContA_IPS_8","cortical_surface_area",0.75518,0.03464,0.75272,0.04782,0.75518,0.03464,0.75272,0.04782,25
"LH_ContA_IPS_8","cortical_thickness",2.09973,0.20273,2.10297,0.29491,2.09973,0.20273,2.10297,0.29491,25
"LH_ContA_IPS_8","csf_thickness",15.01583,3.61306,15.95023,5.37389,15.01583,3.61306,15.95023,5.37389,25
"LH_ContA_IPS_8","pial_lgi",2.88672,0.13747,2.90874,0.22773,2.88672,0.13747,2.90874,0.22773,25
"LH_ContA_IPS_8","skin_thickness",7.79811,1.46603,7.40655,1.63711,7.79811,1.46603,7.40655,1.63711,25
"LH_ContA_IPS_8","skull_thickness",7.54581,1.1175,7.91344,1.60377,7.54581,1.1175,7.91344,1.60377,25
"LH_ContA_IPS_8","sulcal_depth",4.40745,2.9854,4.05528,3.81174,4.50162,2.83526,4.05528,3.81174,25
"LH_ContA_PFCd_1","cortical_surface_area",0.68709,0.0378,0.69692,0.05173,0.68709,0.0378,0.69692,0.05173,25
"LH_ContA_PFCd_1","cortical_thickness",2.5371,0.15877,2.52811,0.19705,2.5371,0.15877,2.52811,0.19705,25
"LH_ContA_PFCd_1","csf_thickness",10.87294,2.26405,10.75182,2.94754,10.87294,2.26405,10.75182,2.94754,25
"LH_ContA_PFCd_1","pial_lgi",2.67723,0.15898,2.71901,0.19141,2.67723,0.15898,2.71901,0.19141,25
"LH_ContA_PFCd_1","skin_thickness",6.88267,1.64769,6.50657,2.44004,6.88267,1.64769,6.50657,2.44004,25
"LH_ContA_PFCd_1","skull_thickness",6.82638,1.14073,6.56397,1.75558,6.82638,1.14073,6.56397,1.75558,25
"LH_ContA_PFCd_1","sulcal_depth",-0.11113,0.63829,-0.12112,0.75319,0.4898,0.41276,0.3525,0.61938,25
"LH_ContA_PFCd_2","cortical_surface_area",0.75334,0.03355,0.76109,0.04613,0.75334,0.03355,0.76109,0.04613,25
"LH_ContA_PFCd_2","cortical_thickness",2.33459,0.1905,2.31225,0.22058,2.33459,0.1905,2.31225,0.22058,25
"LH_ContA_PFCd_2","csf_thickness",15.07865,3.10561,14.91151,3.98825,15.07865,3.10561,14.91151,3.98825,25
"LH_ContA_PFCd_2","pial_lgi",2.46903,0.14623,2.46125,0.21769,2.46903,0.14623,2.46125,0.21769,25
"LH_ContA_PFCd_2","skin_thickness",6.91007,1.58011,6.6481,2.62541,6.91007,1.58011,6.6481,2.62541,25
"LH_ContA_PFCd_2","skull_thickness",6.82906,1.09536,6.90422,1.21001,6.82906,1.09536,6.90422,1.21001,25
"LH_ContA_PFCd_2","sulcal_depth",4.72151,1.69988,5.1246,1.37594,4.80244,1.44452,5.1246,1.37594,25
"LH_ContA_PFCl_1","cortical_surface_area",0.75158,0.02105,0.75595,0.02854,0.75158,0.02105,0.75595,0.02854,25
"LH_ContA_PFCl_1","cortical_thickness",2.29496,0.13638,2.29987,0.16687,2.29496,0.13638,2.29987,0.16687,25
"LH_ContA_PFCl_1","csf_thickness",11.88182,2.13874,11.89455,3.40954,11.88182,2.13874,11.89455,3.40954,25
"LH_ContA_PFCl_1","pial_lgi",3.3401,0.25553,3.3397,0.28519,3.3401,0.25553,3.3397,0.28519,25
"LH_ContA_PFCl_1","skin_thickness",5.73284,1.31875,5.65842,2.22646,5.73284,1.31875,5.65842,2.22646,25
"LH_ContA_PFCl_1","skull_thickness",6.22903,1.39001,6.30475,2.18013,6.22903,1.39001,6.30475,2.18013,25
"LH_ContA_PFCl_1","sulcal_depth",1.49282,1.76932,1.99573,2.87645,2.05326,1.02973,2.02437,1.54544,25
"LH_ContA_PFCl_2","cortical_surface_area",0.73426,0.03158,0.72922,0.02701,0.73426,0.03158,0.72922,0.02701,25
"LH_ContA_PFCl_2","cortical_thickness",2.3938,0.16654,2.37828,0.18088,2.3938,0.16654,2.37828,0.18088,25
"LH_ContA_PFCl_2","csf_thickness",6.94696,1.77323,6.91124,2.31241,6.94696,1.77323,6.91124,2.31241,25
"LH_ContA_PFCl_2","pial_lgi",2.91225,0.17515,2.94784,0.27505,2.91225,0.17515,2.94784,0.27505,25
"LH_ContA_PFCl_2","skin_thickness",5.21693,1.25903,4.81794,1.27731,5.21693,1.25903,4.81794,1.27731,25
"LH_ContA_PFCl_2","skull_thickness",7.21882,1.34377,7.18864,1.97088,7.21882,1.34377,7.18864,1.97088,25
"LH_ContA_PFCl_2","sulcal_depth",-1.19856,1.35132,-1.48957,1.79778,1.55989,0.88759,1.48957,1.34175,25
"LH_ContA_PFCl_3","cortical_surface_area",0.71151,0.03906,0.70918,0.05447,0.71151,0.03906,0.70918,0.05447,25
"LH_ContA_PFCl_3","cortical_thickness",2.54552,0.2003,2.5282,0.25298,2.54552,0.2003,2.5282,0.25298,25
"LH_ContA_PFCl_3","csf_thickness",9.30076,1.49193,9.20171,1.26089,9.30076,1.49193,9.20171,1.26089,25
"LH_ContA_PFCl_3","pial_lgi",3.69936,0.23008,3.67366,0.30618,3.69936,0.23008,3.67366,0.30618,25
"LH_ContA_PFCl_3","skin_thickness",6.90952,1.41032,6.96064,2.33231,6.90952,1.41032,6.96064,2.33231,25
"LH_ContA_PFCl_3","skull_thickness",5.28441,1.52244,4.93777,1.41467,5.28441,1.52244,4.93777,1.41467,25
"LH_ContA_PFCl_3","sulcal_depth",-0.31107,0.7871,-0.49371,0.88005,0.68079,0.48738,0.60037,0.55697,25
