"parcel","cortical_thickness","pial_lgi","sulcal_depth","cortical_surface_area","csf_thickness","skull_thickness","skin_thickness"
"RH_DorsAttnB_FEF_3",2.44330567694484,2.39917343683755,2.76339920098979,0.676981918783521,11.9276862751679,5.94721678461177,5.78542912348677
"RH_ContA_IPS_4",2.26121931272684,2.8787734424945,9.24939434208821,0.731159335927865,20.2963645227177,6.24254660262275,7.68589365261117
"RH_SomMotB_Cent_1",2.42780891871843,3.79984754480299,-1.38315048839966,0.679568737354435,6.57385121329886,3.80060861481995,8.27388612364159
"RH_SalVentAttnB_PFCl_2",2.59259052017863,2.72853591423626,-2.36803207811196,0.739634893568911,5.1683668543202,5.80954487157422,4.79572742077731
"RH_SalVentAttnB_PFCmp_2",3.13128059569684,1.83954476377817,2.29983264072434,0.744970249397129,25.4021477592724,7.51051253246861,5.53826014422838
"RH_ContC_pCun_3",2.67693875167833,2.44118929826296,0.766878149944661,0.732543896515291,27.4199959192521,7.72744991229131,8.55408367045196
"RH_VisCent_ExStr_11",2.26059905295648,2.48209303356865,-1.97398559220151,0.631926151862097,4.0131296654178,4.58517081982999,5.13759962829784
"RH_TempPar_9",2.9116902995147,3.16985428351997,5.44812869828844,0.749933522949039,16.2162649507987,4.0516068987794,7.9676969167389
"RH_SalVentAttnA_Ins_3",3.27116393617221,4.3905894105174,6.1813327908015,0.84843497704558,20.9507624542012,7.77196276989304,8.30310733578786
"RH_LimbicB_OFC_2",2.9093359155475,1.98106473002044,-1.93309202135172,0.753130308112258,4.74704539221038,4.323043542688,5.67834393303349
"RH_DefaultC_Rsp_1",2.03755196701672,2.34522749559354,1.45163948550895,0.71821157962589,36.3938730773279,18.6207031961215,9.37538894657361
"RH_LimbicA_TempPole_4",2.99326141465884,2.18924691706854,3.72994520597098,0.770343141648376,6.03082898321165,11.4020045117763,1.76305373922383
"RH_DefaultB_PFCd_5",3.01879287301824,2.02636439523447,-4.15678208419,0.698858206749855,8.65964525826415,6.52942929375038,5.73526879107014
"RH_DefaultB_PFCd_3",2.90829154664132,2.15045561694136,-2.36278498005982,0.719361098125727,8.460312809607,6.94155187937088,4.95684951242774
"RH_ContB_PFCld_5",3.12118895696435,2.66660491847851,-2.75481072036256,0.698499085625773,6.86330131262497,5.28401133097675,4.83798056744335
"RH_SomMotA_23",2.38629818733396,2.06663730278097,-6.09235445641238,0.506618990851887,13.3764876456096,7.96602854440952,6.46277839150922
"RH_SomMotA_2",2.56158636619529,1.93510397471602,5.54108155910973,0.764217872331252,33.587625945447,6.09777726672171,5.7447620014925
"RH_SomMotA_16",1.76600739830419,2.21879879687557,3.14648715832709,0.842589501917666,12.051278402526,6.49103002839663,6.21499359911286
"RH_DorsAttnA_SPL_8",2.21324204446199,2.49185319577367,-3.09323957311015,0.659614406341364,7.97369400266117,6.68763779148911,8.9872595626789
"RH_SomMotA_4",2.85632081602374,2.83579489797608,2.93238918674616,0.669656725775482,13.1387942061465,5.35223997067182,5.05312302173712
"RH_DorsAttnB_PostC_3",2.58094902118195,2.86499398537602,6.28997478989369,0.75968411006379,16.6190576535651,5.92865541472285,5.30554939156782
"RH_ContA_PFCl_5",2.71161727104307,3.67520031038221,5.37131401173934,0.747854228670968,16.9320208071914,4.37227207974325,5.65476276810914
"RH_DefaultB_PFCv_3",2.59194331471022,3.81581153498067,-2.23602815341452,0.739859914915128,7.23007561440592,3.47128020246308,9.67399871891195
"RH_SomMotB_S2_3",2.90636496727022,4.47468946465049,8.04550142952931,0.714946515275269,25.5903551391992,4.93030500072843,8.71378638564608
"RH_ContB_PFClv_3",2.42985491386368,2.05372841072928,-2.42919733510212,0.774558497408468,5.4047135077692,5.38293666114131,5.96201768830044
"RH_SalVentAttnB_Ins_1",3.31303949105112,3.53182821803623,4.22622960821279,0.740753612323114,13.5036890464917,3.79505087931951,19.0981558177903
"RH_DefaultA_PFCm_2",2.58669886618946,1.88877317785843,3.43845263628003,0.747979642829178,16.6053398963426,3.76723777164112,11.6700476733121
"RH_DefaultA_pCunPCC_2",2.90678401607677,2.568821907336,-0.586260867294101,0.727223650516908,33.7343304967588,6.91006737457463,7.21140787967144
"RH_VisPeri_ExStrSup_3",2.30106826336995,2.72479045803334,-0.338205345680867,0.654406253559789,9.43864038526497,5.6601535449454,6.50030663102779
"RH_VisPeri_StriCal_4",2.21162107932089,2.60693008398052,1.80122672418137,0.693045888668538,25.6936446183117,6.9865473359471,5.53717770700477
"RH_DorsAttnA_ParOcc_3",2.59808721928529,2.80974954324709,5.92564633368305,0.791630011419175,13.1767371993669,6.32202565921864,5.98373966989383
"RH_ContB_IPL_1",2.81585518125932,3.09323340535023,-1.45727416117993,0.711689645255553,6.61480130379837,5.52330137955988,6.99034150048336
"RH_DorsAttnA_ParOcc_1",2.7016660081278,2.91186217873534,3.9545901926927,0.761854283814908,12.1439770865362,4.71136104024545,7.25174807557965
"RH_SalVentAttnA_ParOper_1",2.80228145557707,3.21488526682028,0.832685975583275,0.73410051047523,7.50176039538034,4.03500907320686,7.60415134861391
"RH_SomMotB_Aud_2",2.68726369808428,4.06952100223862,0.373436393195334,0.650192568777129,15.6784445070662,5.14774621720426,8.60898503707722
"RH_DefaultB_AntTemp_1",3.30597809703145,2.33470466468508,-2.4238082362746,0.734898796934166,4.37293845707218,2.44296937873032,18.1328233668346
"RH_DefaultC_PHC_3",3.0545166951393,2.25280154696426,3.85848593443725,0.710261738267164,15.8365375123535,20.6246808175417,9.6576437466002
