"parcel","variable","mean","std","median","iqr","mean_abs","std_abs","median_abs","iqr_abs","n_subjects"
"LH_ContA_Cingm_1","cortical_surface_area",0.67006,0.0487,0.67062,0.03913,0.67006,0.0487,0.67062,0.03913,33
"LH_ContA_Cingm_1","cortical_thickness",1.92149,0.37643,1.80579,0.63668,1.92149,0.37643,1.80579,0.63668,33
"LH_ContA_Cingm_1","csf_thickness",38.70724,1.78877,38.71699,2.31785,38.70724,1.78877,38.71699,2.31785,33
"LH_ContA_Cingm_1","pial_lgi",1.71645,0.1392,1.73111,0.12865,1.71645,0.1392,1.73111,0.12865,33
"LH_ContA_Cingm_1","skin_thickness",6.79343,1.27093,6.59589,1.70889,6.79343,1.27093,6.59589,1.70889,33
"LH_ContA_Cingm_1","skull_thickness",8.53286,2.71215,7.71433,1.96731,8.53286,2.71215,7.71433,1.96731,33
"LH_ContA_Cingm_1","sulcal_depth",0.2833,0.67979,0.48003,0.76064,0.62505,0.37682,0.62983,0.48002,33
"LH_ContA_IPS_1","cortical_surface_area",0.75108,0.02912,0.74696,0.04159,0.75108,0.02912,0.74696,0.04159,33
"LH_ContA_IPS_1","cortical_thickness",2.61279,0.15459,2.59201,0.2075,2.61279,0.15459,2.59201,0.2075,33
"LH_ContA_IPS_1","csf_thickness",10.78503,1.56281,10.85086,1.81013,10.78503,1.56281,10.85086,1.81013,33
"LH_ContA_IPS_1","pial_lgi",3.01883,0.13172,3.00325,0.13398,3.01883,0.13172,3.00325,0.13398,33
"LH_ContA_IPS_1","skin_thickness",7.54428,1.42544,7.18432,2.33986,7.54428,1.42544,7.18432,2.33986,33
"LH_ContA_IPS_1","skull_thickness",7.35637,1.27701,7.3655,1.77456,7.35637,1.27701,7.3655,1.77456,33
"LH_ContA_IPS_1","sulcal_depth",0.90328,0.89899,0.93567,1.24192,1.04536,0.72296,0.94171,1.09664,33
"LH_ContA_IPS_2","cortical_surface_area",0.75369,0.02474,0.75692,0.03134,0.75369,0.02474,0.75692,0.03134,33
"LH_ContA_IPS_2","cortical_thickness",2.49654,0.11506,2.50294,0.16014,2.49654,0.11506,2.50294,0.16014,33
"LH_ContA_IPS_2","csf_thickness",16.0549,2.84123,16.1071,3.97561,16.0549,2.84123,16.1071,3.97561,33
"LH_ContA_IPS_2","pial_lgi",2.99955,0.15297,2.9942,0.19133,2.99955,0.15297,2.9942,0.19133,33
"LH_ContA_IPS_2","skin_thickness",8.07978,1.63343,7.71359,3.07698,8.07978,1.63343,7.71359,3.07698,33
"LH_ContA_IPS_2","skull_thickness",7.66158,1.322,7.89679,2.07688,7.66158,1.322,7.89679,2.07688,33
"LH_ContA_IPS_2","sulcal_depth",5.90655,1.9752,5.49141,2.58743,5.90655,1.9752,5.49141,2.58743,33
"LH_ContA_IPS_3","cortical_surface_area",0.73197,0.02966,0.72906,0.04024,0.73197,0.02966,0.72906,0.04024,33
"LH_ContA_IPS_3","cortical_thickness",2.68797,0.15633,2.65683,0.26421,2.68797,0.15633,2.65683,0.26421,33
"LH_ContA_IPS_3","csf_thickness",7.33207,1.81909,7.21301,2.85615,7.33207,1.81909,7.21301,2.85615,33
"LH_ContA_IPS_3","pial_lgi",3.23391,0.13477,3.21491,0.17617,3.23391,0.13477,3.21491,0.17617,33
"LH_ContA_IPS_3","skin_thickness",7.67906,1.27747,7.66308,1.78122,7.67906,1.27747,7.66308,1.78122,33
"LH_ContA_IPS_3","skull_thickness",6.96886,1.44133,7.20202,2.16458,6.96886,1.44133,7.20202,2.16458,33
"LH_ContA_IPS_3","sulcal_depth",-3.01986,1.41715,-3.19607,1.67053,3.12211,1.16646,3.19607,1.67053,33
"LH_ContA_IPS_4","cortical_surface_area",0.73162,0.01386,0.73351,0.01555,0.73162,0.01386,0.73351,0.01555,33
"LH_ContA_IPS_4","cortical_thickness",2.55677,0.18708,2.56953,0.23922,2.55677,0.18708,2.56953,0.23922,33
"LH_ContA_IPS_4","csf_thickness",11.77506,2.88773,10.98579,4.23605,11.77506,2.88773,10.98579,4.23605,33
"LH_ContA_IPS_4","pial_lgi",3.09707,0.14977,3.11464,0.19744,3.09707,0.14977,3.11464,0.19744,33
"LH_ContA_IPS_4","skin_thickness",8.39909,1.4487,7.97908,2.00439,8.39909,1.4487,7.97908,2.00439,33
"LH_ContA_IPS_4","skull_thickness",7.55042,1.36513,7.47332,2.2402,7.55042,1.36513,7.47332,2.2402,33
"LH_ContA_IPS_4","sulcal_depth",1.39609,1.91495,1.17598,2.64879,1.8336,1.48656,1.64345,1.83888,33
"LH_ContA_IPS_5","cortical_surface_area",0.74032,0.03239,0.73119,0.05319,0.74032,0.03239,0.73119,0.05319,33
"LH_ContA_IPS_5","cortical_thickness",2.55409,0.1709,2.54396,0.19721,2.55409,0.1709,2.54396,0.19721,33
"LH_ContA_IPS_5","csf_thickness",13.23685,2.82072,13.94368,4.20485,13.23685,2.82072,13.94368,4.20485,33
"LH_ContA_IPS_5","pial_lgi",3.20161,0.13946,3.20186,0.18063,3.20161,0.13946,3.20186,0.18063,33
"LH_ContA_IPS_5","skin_thickness",8.20597,1.22407,7.90655,1.40631,8.20597,1.22407,7.90655,1.40631,33
"LH_ContA_IPS_5","skull_thickness",7.49773,1.39536,7.53254,1.78543,7.49773,1.39536,7.53254,1.78543,33
"LH_ContA_IPS_5","sulcal_depth",2.23953,2.31754,2.51466,2.79034,2.72549,1.69788,2.76534,2.54225,33
"LH_ContA_IPS_6","cortical_surface_area",0.75073,0.02186,0.75095,0.02967,0.75073,0.02186,0.75095,0.02967,33
"LH_ContA_IPS_6","cortical_thickness",2.48917,0.18412,2.48952,0.23847,2.48917,0.18412,2.48952,0.23847,33
"LH_ContA_IPS_6","csf_thickness",19.10447,2.45751,19.122,3.35129,19.10447,2.45751,19.122,3.35129,33
"LH_ContA_IPS_6","pial_lgi",3.17272,0.13627,3.17424,0.16385,3.17272,0.13627,3.17424,0.16385,33
"LH_ContA_IPS_6","skin_thickness",8.61967,1.26593,8.30028,1.96302,8.61967,1.26593,8.30028,1.96302,33
"LH_ContA_IPS_6","skull_thickness",7.95052,1.49544,7.78814,2.25721,7.95052,1.49544,7.78814,2.25721,33
"LH_ContA_IPS_6","sulcal_depth",8.35391,2.24447,8.96006,2.59306,8.35391,2.24447,8.96006,2.59306,33
"LH_ContA_IPS_7","cortical_surface_area",0.74431,0.02604,0.74736,0.02616,0.74431,0.02604,0.74736,0.02616,33
"LH_ContA_IPS_7","cortical_thickness",2.50538,0.15194,2.50118,0.15032,2.50538,0.15194,2.50118,0.15032,33
"LH_ContA_IPS_7","csf_thickness",17.56892,4.04174,18.19319,6.309,17.56892,4.04174,18.19319,6.309,33
"LH_ContA_IPS_7","pial_lgi",3.20526,0.13908,3.1936,0.14584,3.20526,0.13908,3.1936,0.14584,33
"LH_ContA_IPS_7","skin_thickness",8.22021,1.24786,8.05671,1.73783,8.22021,1.24786,8.05671,1.73783,33
"LH_ContA_IPS_7","skull_thickness",7.69552,1.58562,7.73576,2.07628,7.69552,1.58562,7.73576,2.07628,33
"LH_ContA_IPS_7","sulcal_depth",6.5958,3.29819,7.46331,4.88502,6.75509,2.94701,7.46331,4.88502,33
"LH_ContA_IPS_8","cortical_surface_area",0.73893,0.02146,0.73959,0.02146,0.73893,0.02146,0.73959,0.02146,33
"LH_ContA_IPS_8","cortical_thickness",2.39277,0.19591,2.3782,0.2601,2.39277,0.19591,2.3782,0.2601,33
"LH_ContA_IPS_8","csf_thickness",13.39093,4.09423,12.31366,6.5477,13.39093,4.09423,12.31366,6.5477,33
"LH_ContA_IPS_8","pial_lgi",3.04598,0.16724,3.04563,0.22778,3.04598,0.16724,3.04563,0.22778,33
"LH_ContA_IPS_8","skin_thickness",8.78825,1.44854,8.35422,1.48558,8.78825,1.44854,8.35422,1.48558,33
"LH_ContA_IPS_8","skull_thickness",8.06434,1.41325,8.2728,2.12108,8.06434,1.41325,8.2728,2.12108,33
