"parcel","variable","mean","std","median","iqr","mean_abs","std_abs","median_abs","iqr_abs","n_subjects"
"LH_ContA_Cingm_1","cortical_surface_area",0.67419,0.0319,0.66537,0.04433,0.67419,0.0319,0.66537,0.04433,25
"LH_ContA_Cingm_1","cortical_thickness",1.54977,0.39753,1.62703,0.3319,1.54977,0.39753,1.62703,0.3319,25
"LH_ContA_Cingm_1","csf_thickness",40.91611,1.85354,41.30705,2.16795,40.91611,1.85354,41.30705,2.16795,25
"LH_ContA_Cingm_1","pial_lgi",1.75938,0.13717,1.76163,0.20941,1.75938,0.13717,1.76163,0.20941,25
"LH_ContA_Cingm_1","skin_thickness",5.685,1.48913,5.64261,1.82085,5.685,1.48913,5.64261,1.82085,25
"LH_ContA_Cingm_1","skull_thickness",9.40186,1.43843,9.26291,1.07397,9.40186,1.43843,9.26291,1.07397,25
"LH_ContA_Cingm_1","sulcal_depth",0.08017,0.73079,0.22077,0.84597,0.61131,0.38921,0.44013,0.66846,25
"LH_ContA_IPS_1","cortical_surface_area",0.75495,0.02528,0.75803,0.02785,0.75495,0.02528,0.75803,0.02785,25
"LH_ContA_IPS_1","cortical_thickness",2.40982,0.15492,2.38285,0.18256,2.40982,0.15492,2.38285,0.18256,25
"LH_ContA_IPS_1","csf_thickness",10.39752,2.2198,10.61683,3.03365,10.39752,2.2198,10.61683,3.03365,25
"LH_ContA_IPS_1","pial_lgi",2.87644,0.15023,2.87408,0.20169,2.87644,0.15023,2.87408,0.20169,25
"LH_ContA_IPS_1","skin_thickness",8.07388,1.345,8.17727,2.35563,8.07388,1.345,8.17727,2.35563,25
"LH_ContA_IPS_1","skull_thickness",7.38219,1.17313,7.16641,1.352,7.38219,1.17313,7.16641,1.352,25
"LH_ContA_IPS_1","sulcal_depth",0.32435,1.6609,0.51452,1.72159,1.24014,1.12523,1.11764,1.00912,25
"LH_ContA_IPS_2","cortical_surface_area",0.74877,0.02246,0.74541,0.02159,0.74877,0.02246,0.74541,0.02159,25
"LH_ContA_IPS_2","cortical_thickness",2.30216,0.15558,2.33106,0.22523,2.30216,0.15558,2.33106,0.22523,25
"LH_ContA_IPS_2","csf_thickness",16.12913,3.65672,15.70254,4.81257,16.12913,3.65672,15.70254,4.81257,25
"LH_ContA_IPS_2","pial_lgi",2.84104,0.1577,2.84217,0.19582,2.84104,0.1577,2.84217,0.19582,25
"LH_ContA_IPS_2","skin_thickness",8.40709,1.32322,8.02568,1.72555,8.40709,1.32322,8.02568,1.72555,25
"LH_ContA_IPS_2","skull_thickness",7.73258,1.2563,7.73859,1.6872,7.73258,1.2563,7.73859,1.6872,25
"LH_ContA_IPS_2","sulcal_depth",5.37892,2.88612,5.57902,3.72837,5.55567,2.51326,5.57902,3.72837,25
"LH_ContA_IPS_3","cortical_surface_area",0.7316,0.02812,0.73189,0.04079,0.7316,0.02812,0.73189,0.04079,25
"LH_ContA_IPS_3","cortical_thickness",2.43212,0.19088,2.4353,0.23743,2.43212,0.19088,2.4353,0.23743,25
"LH_ContA_IPS_3","csf_thickness",7.935,1.66731,8.19412,2.35256,7.935,1.66731,8.19412,2.35256,25
"LH_ContA_IPS_3","pial_lgi",3.10748,0.15665,3.06973,0.26556,3.10748,0.15665,3.06973,0.26556,25
"LH_ContA_IPS_3","skin_thickness",8.71655,1.38565,8.56537,2.22371,8.71655,1.38565,8.56537,2.22371,25
"LH_ContA_IPS_3","skull_thickness",6.40335,1.59648,6.14775,1.23872,6.40335,1.59648,6.14775,1.23872,25
"LH_ContA_IPS_3","sulcal_depth",-2.99817,1.91925,-3.12609,2.23788,3.20753,1.52648,3.12609,2.23788,25
"LH_ContA_IPS_4","cortical_surface_area",0.73895,0.01992,0.73985,0.02438,0.73895,0.01992,0.73985,0.02438,25
"LH_ContA_IPS_4","cortical_thickness",2.30828,0.13694,2.32686,0.15756,2.30828,0.13694,2.32686,0.15756,25
"LH_ContA_IPS_4","csf_thickness",13.35329,2.35982,13.47803,2.46636,13.35329,2.35982,13.47803,2.46636,25
"LH_ContA_IPS_4","pial_lgi",2.96532,0.16215,2.96426,0.23288,2.96532,0.16215,2.96426,0.23288,25
"LH_ContA_IPS_4","skin_thickness",8.89608,1.37591,8.55756,1.68974,8.89608,1.37591,8.55756,1.68974,25
"LH_ContA_IPS_4","skull_thickness",7.35885,1.37104,7.06591,1.35437,7.35885,1.37104,7.06591,1.35437,25
"LH_ContA_IPS_4","sulcal_depth",1.71872,1.14581,1.69654,1.09785,1.85286,0.90212,1.69654,1.09785,25
"LH_ContA_IPS_5","cortical_surface_area",0.74864,0.02801,0.75391,0.03144,0.74864,0.02801,0.75391,0.03144,25
"LH_ContA_IPS_5","cortical_thickness",2.31417,0.18241,2.28437,0.23696,2.31417,0.18241,2.28437,0.23696,25
"LH_ContA_IPS_5","csf_thickness",13.76399,2.62524,13.26243,3.66609,13.76399,2.62524,13.26243,3.66609,25
"LH_ContA_IPS_5","pial_lgi",3.08913,0.16681,3.05558,0.22624,3.08913,0.16681,3.05558,0.22624,25
"LH_ContA_IPS_5","skin_thickness",8.89164,1.39158,8.82955,1.89603,8.89164,1.39158,8.82955,1.89603,25
"LH_ContA_IPS_5","skull_thickness",6.8602,1.67302,6.37868,1.5551,6.8602,1.67302,6.37868,1.5551,25
"LH_ContA_IPS_5","sulcal_depth",1.70728,2.20268,2.19251,2.51143,2.28401,1.56651,2.37697,2.1727,25
"LH_ContA_IPS_6","cortical_surface_area",0.76012,0.02421,0.75502,0.02533,0.76012,0.02421,0.75502,0.02533,25
"LH_ContA_IPS_6","cortical_thickness",2.20646,0.13653,2.22495,0.18562,2.20646,0.13653,2.22495,0.18562,25
"LH_ContA_IPS_6","csf_thickness",21.23673,2.57135,22.13925,3.93907,21.23673,2.57135,22.13925,3.93907,25
"LH_ContA_IPS_6","pial_lgi",3.05972,0.15733,3.05056,0.26483,3.05972,0.15733,3.05056,0.26483,25
"LH_ContA_IPS_6","skin_thickness",9.11767,1.38359,8.82361,1.54205,9.11767,1.38359,8.82361,1.54205,25
"LH_ContA_IPS_6","skull_thickness",7.33516,1.57877,6.70937,2.00896,7.33516,1.57877,6.70937,2.00896,25
"LH_ContA_IPS_6","sulcal_depth",9.15128,1.45023,9.30301,1.98565,9.15128,1.45023,9.30301,1.98565,25
"LH_ContA_IPS_7","cortical_surface_area",0.75585,0.03089,0.74867,0.03158,0.75585,0.03089,0.74867,0.03158,25
"LH_ContA_IPS_7","cortical_thickness",2.22999,0.17504,2.21226,0.29042,2.22999,0.17504,2.21226,0.29042,25
"LH_ContA_IPS_7","csf_thickness",18.67981,3.5413,19.4747,4.44975,18.67981,3.5413,19.4747,4.44975,25
"LH_ContA_IPS_7","pial_lgi",3.08288,0.16602,3.06544,0.24688,3.08288,0.16602,3.06544,0.24688,25
"LH_ContA_IPS_7","skin_thickness",8.84181,1.34634,8.65768,1.66841,8.84181,1.34634,8.65768,1.66841,25
"LH_ContA_IPS_7","skull_thickness",7.11993,1.69498,6.70002,1.3068,7.11993,1.69498,6.70002,1.3068,25
"LH_ContA_IPS_7","sulcal_depth",6.03588,3.12146,6.94408,4.23629,6.06133,3.06966,6.94408,4.23629,25
"LH_ContA_IPS_8","cortical_surface_area",0.75799,0.02561,0.75993,0.03711,0.75799,0.02561,0.75993,0.03711,25
"LH_ContA_IPS_8","cortical_thickness",2.17382,0.15283,2.17733,0.24257,2.17382,0.15283,2.17733,0.24257,25
"LH_ContA_IPS_8","csf_thickness",15.99883,4.09501,16.36276,6.65808,15.99883,4.09501,16.36276,6.65808,25
"LH_ContA_IPS_8","pial_lgi",2.89001,0.15723,2.89752,0.22734,2.89001,0.15723,2.89752,0.22734,25
"LH_ContA_IPS_8","skin_thickness",9.11333,1.39018,8.95514,1.51903,9.11333,1.39018,8.95514,1.51903,25
"LH_ContA_IPS_8","skull_thickness",7.8566,1.44588,7.5859,1.45613,7.8566,1.44588,7.5859,1.45613,25
"LH_ContA_IPS_8","sulcal_depth",4.65648,2.84835,5.17021,4.08355,4.70234,2.76876,5.17021,4.08355,25
"LH_ContA_PFCd_1","cortical_surface_area",0.70567,0.03349,0.71138,0.04036,0.70567,0.03349,0.71138,0.04036,25
"LH_ContA_PFCd_1","cortical_thickness",2.65507,0.15097,2.64202,0.18997,2.65507,0.15097,2.64202,0.18997,25
"LH_ContA_PFCd_1","csf_thickness",11.47097,2.23008,10.95022,2.91285,11.47097,2.23008,10.95022,2.91285,25
"LH_ContA_PFCd_1","pial_lgi",2.77675,0.18154,2.74973,0.16446,2.77675,0.18154,2.74973,0.16446,25
"LH_ContA_PFCd_1","skin_thickness",6.68114,1.23882,6.61959,2.0101,6.68114,1.23882,6.61959,2.0101,25
"LH_ContA_PFCd_1","skull_thickness",7.07397,1.29572,6.60338,2.20548,7.07397,1.29572,6.60338,2.20548,25
"LH_ContA_PFCd_1","sulcal_depth",-0.2282,0.66444,-0.28361,0.73385,0.55111,0.4235,0.44642,0.47289,25
"LH_ContA_PFCd_2","cortical_surface_area",0.75326,0.0213,0.75791,0.02717,0.75326,0.0213,0.75791,0.02717,25
"LH_ContA_PFCd_2","cortical_thickness",2.45336,0.15773,2.47157,0.18262,2.45336,0.15773,2.47157,0.18262,25
"LH_ContA_PFCd_2","csf_thickness",15.56269,2.60327,15.02075,3.78755,15.56269,2.60327,15.02075,3.78755,25
"LH_ContA_PFCd_2","pial_lgi",2.53906,0.16549,2.53338,0.172,2.53906,0.16549,2.53338,0.172,25
"LH_ContA_PFCd_2","skin_thickness",6.68665,1.18483,6.46454,2.02809,6.68665,1.18483,6.46454,2.02809,25
"LH_ContA_PFCd_2","skull_thickness",7.30184,1.12213,6.91231,1.55915,7.30184,1.12213,6.91231,1.55915,25
"LH_ContA_PFCd_2","sulcal_depth",4.749,1.58172,4.88949,1.98283,4.749,1.58172,4.88949,1.98283,25
"LH_ContA_PFCl_1","cortical_surface_area",0.74883,0.02027,0.7466,0.02122,0.74883,0.02027,0.7466,0.02122,25
"LH_ContA_PFCl_1","cortical_thickness",2.36336,0.18836,2.36617,0.27009,2.36336,0.18836,2.36617,0.27009,25
"LH_ContA_PFCl_1","csf_thickness",11.33856,1.5064,11.01111,1.92843,11.33856,1.5064,11.01111,1.92843,25
"LH_ContA_PFCl_1","pial_lgi",3.4361,0.21921,3.44023,0.26902,3.4361,0.21921,3.44023,0.26902,25
"LH_ContA_PFCl_1","skin_thickness",6.92235,1.08201,6.88207,1.5212,6.92235,1.08201,6.88207,1.5212,25
"LH_ContA_PFCl_1","skull_thickness",5.81475,1.02556,5.45956,1.61875,5.81475,1.02556,5.45956,1.61875,25
